client_doctor_code,campaign_start_date_(month_year),hcp_email_open_rate,hcp_whatsapp_read_rate,hcp_email_click_rate,hcp_whatsapp_click_rate,hcp_call_productive_rate,last_call_connected_date_(selected_month),average_duration_connected_calls
MH031850,2025-01-01,,0.6666666666666666,,,1.0,2025-01-10 10:26:00,31.0
GJ010443,2025-01-01,,0.6666666666666666,,,,2025-01-10 10:27:00,12.0
MH058842,2025-01-01,0.5,,,,1.0,2025-01-10 10:28:00,69.0
GJ011540,2025-01-01,,,,,1.0,2025-01-10 10:29:00,87.0
UP023464,2025-01-01,,1.0,,,1.0,2025-01-10 10:31:00,34.0
UP029781,2025-01-01,,,,,1.0,2025-01-10 10:32:00,42.0
WB019981,2025-01-01,,,,,1.0,2025-01-10 10:33:00,34.0
KA005656,2025-01-01,,,,,1.0,2025-01-10 10:34:00,32.0
TN016315,2025-01-01,,1.0,,,1.0,2025-01-10 10:35:00,46.0
AP021371,2025-01-01,,1.0,,,,2025-01-10 10:36:00,4.0
BR011202,2025-01-01,,0.3333333333333333,,,,2025-01-10 10:37:00,16.0
DL009244,2025-01-01,,1.0,,,1.0,2025-01-10 10:38:00,34.0
WB018866,2025-01-01,1.0,,,,1.0,2025-01-10 10:38:00,73.0
TS007728,2025-01-01,,0.16666666666666666,,,1.0,2025-01-10 10:40:00,38.0
WB024981,2025-01-01,,1.0,,,,2025-01-10 10:40:00,7.0
GJ011480,2025-01-01,,,,,1.0,2025-01-10 10:42:00,47.0
DL003317,2025-01-01,,0.6666666666666666,,,1.0,2025-01-10 10:43:00,51.0
MP000773,2025-01-01,1.0,0.6666666666666666,,,1.0,2025-01-10 10:43:00,60.0
KL007832,2025-01-01,,0.8333333333333334,,,1.0,2025-01-10 10:45:00,67.0
DL000297,2025-01-01,,0.5,,,1.0,2025-01-10 10:48:00,68.0
DL008524,2025-01-01,,,,,1.0,2025-01-10 10:49:00,72.0
KL018698,2025-01-01,,1.0,,,,2025-01-10 10:51:00,21.0
MH057924,2025-01-01,,1.0,,,1.0,2025-01-10 10:52:00,47.0
WB017897,2025-01-01,,,,,1.0,2025-01-10 10:58:00,61.0
WB023484,2025-01-01,,,,,1.0,2025-01-10 10:59:00,102.0
MH034400,2025-01-01,,1.0,,,1.0,2025-01-10 11:01:00,78.0
KL031749,2025-01-01,,1.0,,,1.0,2025-01-10 11:02:00,73.0
KA008243,2025-01-01,,1.0,,,1.0,2025-01-10 11:03:00,141.0
UP004246,2025-01-01,,,,,1.0,2025-01-10 11:04:00,106.0
TS005661,2025-01-01,,0.4,,,1.0,2025-01-10 11:06:00,42.0
MH081576,2025-01-01,,1.0,,,,2025-01-10 11:10:00,3.0
MH050667,2025-01-01,,1.0,,0.3333333333333333,,2025-01-10 11:12:00,10.0
MH028284,2025-01-01,,1.0,,,,2025-01-10 11:14:00,18.0
DL010439,2025-01-01,,,,,,2025-01-10 11:16:00,8.0
TS002608,2025-01-01,,,,,,2025-01-10 11:17:00,29.0
RJ001670,2025-01-01,1.0,1.0,,,1.0,2025-01-10 11:21:00,46.0
OD004166,2025-01-01,,,,,,2025-01-10 11:22:00,10.0
MH057955,2025-01-01,,,,,1.0,2025-01-10 11:26:00,34.0
MH492053,2025-01-01,1.0,1.0,,,,2025-01-10 11:26:00,11.0
PB011922,2025-01-01,,,,,1.0,2025-01-10 11:29:00,30.0
MP011403,2025-01-01,,1.0,,,1.0,2025-01-10 11:31:00,39.0
KL031491,2025-01-01,,1.0,,,,2025-01-10 12:11:00,27.0
RJ004035,2025-01-01,,,,,1.0,2025-01-10 12:16:00,38.0
MH073916,2025-01-01,,1.0,,,1.0,2025-01-10 12:18:00,59.0
WB016052,2025-01-01,0.5,,,,,2025-01-10 12:20:00,18.0
HR003087,2025-01-01,,,,,,2025-01-10 12:23:00,7.0
PB001815,2025-01-01,,,,,1.0,2025-01-10 12:23:00,92.0
WB002948,2025-01-01,1.0,,,,1.0,2025-01-10 12:23:00,54.0
AS016963,2025-01-01,,,,,0.3333333333333333,2025-01-10 12:25:00,32.0
KL029844,2025-01-01,,,,,1.0,2025-01-10 12:25:00,42.0
RJ021687,2025-01-01,,,,,1.0,2025-01-10 12:25:00,48.0
WB017787,2025-01-01,1.0,1.0,,,0.5,2025-01-10 12:25:00,35.0
MH012645,2025-01-01,,,,,1.0,2025-01-10 12:26:00,32.0
