client_doctor_code,campaign_start_date_(month_year),hcp_email_open_rate,hcp_whatsapp_read_rate,hcp_email_click_rate,hcp_whatsapp_click_rate,hcp_call_productive_rate,last_call_connected_date_(selected_month),average_duration_connected_calls
AP022599,2025-06-01,0.6,1.0,,,,,
AP022631,2025-06-01,,1.0,,,,,
AP022744,2025-06-01,1.0,,,,,,
AP022750,2025-06-01,1.0,,,,,,
AP022751,2025-06-01,0.6,1.0,,,,,
AP022759,2025-06-01,,1.0,,,,,
AP022771,2025-06-01,1.0,1.0,,,,,
AP022877,2025-06-01,,1.0,,,,,
AP022892,2025-06-01,0.6,1.0,,0.2,,,
AP022917,2025-06-01,0.8,0.8333333333333334,,,,,
AP022934,2025-06-01,0.8,0.4,,,,,
AP022987,2025-06-01,,1.0,,,,,
AP023037,2025-06-01,0.6,1.0,,,,,
AP023153,2025-06-01,1.0,0.5,,,,,
AP023266,2025-06-01,1.0,1.0,,,,,
AP023286,2025-06-01,0.5,,,,,,
AP023310,2025-06-01,0.8,0.25,,,,,
AP023369,2025-06-01,1.0,,,,,,
AP023399,2025-06-01,0.6,1.0,,,,,
AP023638,2025-06-01,0.8,1.0,,,,,
AP024075,2025-06-01,,1.0,,,,,
AP024192,2025-06-01,1.0,1.0,,,,,
AP024226,2025-06-01,0.8,1.0,,,,,
AP024277,2025-06-01,0.8,0.8,,,,,
AP024356,2025-06-01,,0.8333333333333334,,,,,
AP024381,2025-06-01,0.8,1.0,,,,,
AP024390,2025-06-01,0.4,1.0,,,,,
AP024394,2025-06-01,,1.0,,,,,
AP024404,2025-06-01,0.8,1.0,,,,,
AP024409,2025-06-01,,0.16666666666666666,,,,,
AP024418,2025-06-01,0.8,1.0,,,,,
AP024530,2025-06-01,0.8,1.0,,,,,
AP024540,2025-06-01,0.5,1.0,,,,,
AP024610,2025-06-01,0.4,1.0,,,,,
AP024717,2025-06-01,,1.0,,,,,
AP024802,2025-06-01,0.8,1.0,,,,,
AP024824,2025-06-01,0.6,0.2,,,,,
AP024849,2025-06-01,0.6,,,,,,
AP025028,2025-06-01,,0.3333333333333333,,,,,
AP025039,2025-06-01,0.6,1.0,,,,,
AP025061,2025-06-01,0.6,1.0,,0.25,,,
AP025108,2025-06-01,0.2,1.0,,,,,
AP025144,2025-06-01,0.6666666666666666,1.0,,,,,
AP025212,2025-06-01,0.6,,,,,,
AP025292,2025-06-01,0.6,1.0,,,,,
AP025293,2025-06-01,,1.0,,,,,
AP025354,2025-06-01,0.8,,,,,,
AP025424,2025-06-01,,1.0,,,,,
AP025425,2025-06-01,0.6,1.0,,,,,
AP025426,2025-06-01,0.8,1.0,,,,,
AP025519,2025-06-01,0.8,1.0,,,,,
AP025522,2025-06-01,,1.0,,,,,
AP025535,2025-06-01,0.8,0.16666666666666666,,0.16666666666666666,,,
AP025664,2025-06-01,0.6,1.0,,,,,
AP025739,2025-06-01,0.6,1.0,,,,,
AP025749,2025-06-01,,1.0,,,,,
AP025772,2025-06-01,,1.0,,,,,
AP025780,2025-06-01,0.5,,,,,,
AP025784,2025-06-01,0.6,,,,,,
AP025829,2025-06-01,1.0,0.5,,,,,
AP025891,2025-06-01,0.8,1.0,,,,,
AP026030,2025-06-01,0.8,1.0,,,,,
AP026071,2025-06-01,0.8,1.0,,,,,
AP026074,2025-06-01,,1.0,,,,,
AP026087,2025-06-01,,1.0,,,,,
AP026171,2025-06-01,1.0,1.0,,,,,
AP026268,2025-06-01,,1.0,,,,,
AP026370,2025-06-01,0.6,1.0,,,,,
AP026717,2025-06-01,0.8,0.4,,0.2,,,
AP026786,2025-06-01,0.4,1.0,,,,,
AP026918,2025-06-01,0.8,1.0,,,,,
AP026940,2025-06-01,0.6,0.16666666666666666,,,,,
AP027190,2025-06-01,0.6,1.0,,0.16666666666666666,,,
AP027332,2025-06-01,,1.0,,,,,
AP027586,2025-06-01,0.6,1.0,,,,,
AP027628,2025-06-01,0.6,0.25,,,,,
AP027657,2025-06-01,,0.25,,,,,
AP027663,2025-06-01,0.6,,,,,,
AP027665,2025-06-01,,0.25,,,,,
AP027666,2025-06-01,,0.75,,,,,
AP027674,2025-06-01,1.0,,,,,,
AP027715,2025-06-01,,0.75,,,,,
AP027730,2025-06-01,0.6,,,,,,
AP027844,2025-06-01,1.0,,,,,,
AP028108,2025-06-01,0.6,,,,,,
AP028163,2025-06-01,0.6,1.0,,,,,
AP028191,2025-06-01,0.4,,,,,,
AP028227,2025-06-01,0.6,1.0,,,,,
AP028280,2025-06-01,1.0,,,,,,
AP028348,2025-06-01,1.0,1.0,,,,,
AP028358,2025-06-01,0.2,1.0,,,,,
AP028405,2025-06-01,,1.0,,0.25,,,
AP028439,2025-06-01,0.4,1.0,,,,,
AP028440,2025-06-01,,1.0,,,,,
AP028464,2025-06-01,,1.0,,,,,
AP028528,2025-06-01,0.8,1.0,,,,,
AP028552,2025-06-01,0.6,,,,,,
AP028585,2025-06-01,,1.0,,,,,
AP028611,2025-06-01,0.6,,,,,,
AP028635,2025-06-01,,1.0,,,,,
AP028666,2025-06-01,0.6,,,,,,
AP028832,2025-06-01,1.0,0.6666666666666666,,,,,
AP028902,2025-06-01,,1.0,,,,,
AP028927,2025-06-01,,1.0,,0.2,,,
AP029054,2025-06-01,0.4,0.8333333333333334,,,,,
AP029112,2025-06-01,,1.0,,,,,
AP029263,2025-06-01,,1.0,,,,,
AP029308,2025-06-01,0.8,,,,,,
AP029326,2025-06-01,,1.0,,,,,
AP029327,2025-06-01,,1.0,,,,,
AP029675,2025-06-01,0.8,,,,,,
AP030110,2025-06-01,0.8,1.0,,,,,
AP030226,2025-06-01,0.6,1.0,,,,,
AP030409,2025-06-01,,1.0,,,,,
AP030412,2025-06-01,1.0,,,,,,
AP030469,2025-06-01,,0.75,,,,,
AP030985,2025-06-01,0.6,,,,,,
AP031008,2025-06-01,0.6,,,,,,
AP031077,2025-06-01,0.8,0.8,,,,,
AP031150,2025-06-01,,1.0,,0.25,,,
AP031194,2025-06-01,0.6,1.0,,,,,
AP031228,2025-06-01,,0.5,,,,,
AP031331,2025-06-01,0.8,1.0,,,,,
AP031588,2025-06-01,,1.0,,,,,
AP031634,2025-06-01,1.0,0.5,,,,,
AP031674,2025-06-01,,1.0,,,,,
AP031780,2025-06-01,0.6,1.0,,,,,
AP032034,2025-06-01,0.8,,,,,,
AP032073,2025-06-01,0.6,1.0,,,,,
AP032249,2025-06-01,0.8,1.0,,,,,
AP032306,2025-06-01,,1.0,,,,,
AP032322,2025-06-01,1.0,0.25,,,,,
AP032398,2025-06-01,0.6,,,,,,
AP032407,2025-06-01,,1.0,,,,,
AP032467,2025-06-01,0.6,,,,,,
AP032483,2025-06-01,0.4,,,,,,
AP032499,2025-06-01,0.8,,,,,,
AP032500,2025-06-01,0.6,0.6,,,,,
AP032612,2025-06-01,,1.0,,,,,
AP032685,2025-06-01,,1.0,,,,,
AP032833,2025-06-01,,1.0,,,,,
AP032915,2025-06-01,0.4,1.0,,,,,
AP032979,2025-06-01,1.0,1.0,,,,,
AP033132,2025-06-01,1.0,1.0,,,,,
