Client Doctor Code,Campaign Start Date (Month Year),HCP Email Open Rate,HCP WhatsApp Read Rate,HCP Email Click Rate,HCP WhatsApp Click Rate,HCP Call Productive Rate,Last Call Connected Date (Selected Month),Average Duration Connected Calls
AP035765,"February, 2025",,66.67%,,,,,
AP490398,"February, 2025",,66.67%,,,,,
AP490459,"February, 2025",100.00%,,,,,,
AP490485,"February, 2025",,100.00%,,,,,
AP491251,"February, 2025",,100.00%,,,,,
AP491978,"February, 2025",100.00%,33.33%,,,,,
AP494935,"February, 2025",,100.00%,,,,,
AP497572,"February, 2025",100.00%,,,,,,
APO20174,"February, 2025",100.00%,100.00%,,,,,
AR000145,"February, 2025",,100.00%,,,,,
AS000047,"February, 2025",100.00%,100.00%,,,,,
AS000090,"February, 2025",100.00%,100.00%,,25.00%,,,
AS000096,"February, 2025",80.00%,66.67%,,,,,
AS000144,"February, 2025",100.00%,,,,,,
AS000145,"February, 2025",60.00%,20.00%,,20.00%,,,
AS000150,"February, 2025",,50.00%,,,,,
AS000314,"February, 2025",,100.00%,,,,,
AS000338,"February, 2025",100.00%,100.00%,,,,,
AS000357,"February, 2025",,100.00%,,,,,
AS000427,"February, 2025",,100.00%,,,,,
AS000595,"February, 2025",100.00%,100.00%,,,,,
AS001158,"February, 2025",,100.00%,,,,,
AS001170,"February, 2025",,100.00%,,,,,
AS001340,"February, 2025",,100.00%,,25.00%,,,
AS001362,"February, 2025",,100.00%,,,,,
AS001951,"February, 2025",60.00%,,,,,,
AS001982,"February, 2025",80.00%,,,,,,
AS002378,"February, 2025",100.00%,,,,,,
AS002613,"February, 2025",60.00%,100.00%,,,,,
AS002618,"February, 2025",100.00%,,,,,,
AS002776,"February, 2025",100.00%,100.00%,,,,,
AS003035,"February, 2025",100.00%,,,,,,
AS003057,"February, 2025",,100.00%,,,,,
AS003097,"February, 2025",,80.00%,,,,,
AS003282,"February, 2025",,75.00%,,,,,
AS003388,"February, 2025",100.00%,100.00%,,,,,
AS003456,"February, 2025",80.00%,100.00%,,,,,
AS003475,"February, 2025",,100.00%,,,,,
AS003621,"February, 2025",60.00%,,,,,,
AS003634,"February, 2025",100.00%,,,,,,
AS005342,"February, 2025",100.00%,,,,,,
AS005623,"February, 2025",,100.00%,,50.00%,,,
